ano,id_municipio,id_municipio_nome,sigla_uf,sigla_uf_nome,populacao_atendida_agua,populacao_urbana_residente_esgoto,extensao_rede_esgoto,volume_agua_tratada_eta,volume_agua_tratada_importado,quantidade_empregado,despesa_agua_importada,despesa_fiscal_nao_computada,despesa_divida_variacao,investimento_agua_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,natureza_juridica
2000,1400100,Boa Vista,RR,Roraima,194037,197098,131.8,10652.29,,292,,,,18687.52,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1400100,Boa Vista,RR,Roraima,160717,151957,131.8,10652.29,,293,,,,1856668.15,,,Sociedade de economia mista com administração pública | Administração pública direta
1996,1302603,Manaus,AM,Amazonas,1298281,1150193,256.5,126290.0,,1287,,,,7362456.85,,,Empresa privada | Administração pública direta
2014,1304005,Silves,AM,Amazonas,,4301,15.0,,,10,,0.0,0.0,,,,Administração pública direta | Administração pública direta
1997,1302603,Manaus,AM,Amazonas,1181270,1186338,257.0,133882.0,,995,,,,38580561.0,,,Empresa privada | Administração pública direta
1997,1200401,Rio Branco,AC,Acre,171492,211493,180.0,,,172,0.0,,,6928759.0,,,Autarquia | Administração pública direta
1998,1400407,Normandia,RR,Roraima,1461,910,0.0,,,1,,,,3500.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1400506,SÃ£o JoÃ£o da Baliza,RR,Roraima,3120,1305,0.0,,,7,,,,155500.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1996,1400100,Boa Vista,RR,Roraima,147000,150442,129.0,7022.6,,245,,,,903016.5,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1400209,CaracaraÃ­,RR,Roraima,5920,4491,0.0,,,8,,,,61000.0,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
1998,1400050,Alto Alegre,RR,Roraima,4230,4265,0.0,,,6,,,,38000.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1302603,Manaus,AM,Amazonas,1343205,1247280,370.0,112000.0,,920,,,,5218754.33,,,Empresa privada | Administração pública direta
1998,1400100,Boa Vista,RR,Roraima,156834,148175,130.96,10652.27,,286,,,,2072155.75,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1400605,SÃ£o Luiz,RR,Roraima,3472,1311,0.0,,,7,,,,281500.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1997,1301852,Iranduba,AM,Amazonas,7353,,,146.0,,6,,,,10084.0,,,Autarquia | Administração pública direta
1999,1302504,Manacapuru,AM,Amazonas,34205,,,612.0,,17,,,,,,,Autarquia | Administração pública direta
1997,1400605,SÃ£o Luiz,RR,Roraima,3294,,,401.5,,8,,,,49854.0,,,Sociedade de economia mista com administração pública | Administração pública direta
2005,1302009,Itapiranga,AM,Amazonas,8500,,,790.6,0.0,12,0.0,,0.0,,,,Administração pública direta | Administração pública direta
2000,1200203,Cruzeiro do Sul,AC,Acre,18797,,,1209.01,,30,,,,0.0,,,Autarquia | Administração pública direta
1998,1200203,Cruzeiro do Sul,AC,Acre,16027,35027,,2851.0,,20,,,,797237.0,,,Autarquia | Administração pública direta
1999,1300086,AnamÃ£,AM,Amazonas,,,,,,,,,,,,,Administração pública direta
2000,1301407,EirunepÃ©,AM,Amazonas,10075,,,153.0,,5,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1301506,Envira,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
2000,1303502,Pauini,AM,Amazonas,,,,,,,,,,,,,0
2000,1304104,TapauÃ¡,AM,Amazonas,,,,,,,,,,,,,Administração pública direta
2000,1400159,Bonfim,RR,Roraima,3847,,,0.0,,5,,,,0.0,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2000,1400209,CaracaraÃ­,RR,Roraima,9936,,,0.0,,8,,,,0.0,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2000,1400605,SÃ£o Luiz,RR,Roraima,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1200401,Rio Branco,AC,Acre,,219887,,,,,,,,,,,Autarquia | Administração pública direta
1999,1302553,Manaquiri,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1303601,Santa Isabel do Rio Negro,AM,Amazonas,,,,,,,,,,,,,Administração pública direta
1997,1304203,TefÃ©,AM,Amazonas,31430,,,401.5,,15,,,,4862.0,,,Autarquia | Administração pública direta
1997,1400209,CaracaraÃ­,RR,Roraima,5860,,,0.0,,7,,,,8826.44,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2001,1400282,Iracema,RR,Roraima,,,,,,,,,,,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
1998,1200013,AcrelÃ¢ndia,AC,Acre,1705,2022,,,,2,,,,,,,Autarquia | Administração pública direta
1998,1200609,TarauacÃ¡,AC,Acre,3883,11445,,360.0,,8,,,,,,,Autarquia | Administração pública direta
1998,1300805,Borba,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1998,1300904,Canutama,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1999,1302405,LÃ¡brea,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1999,1400407,Normandia,RR,Roraima,1507,,,0.0,,1,,,,0.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1400456,Pacaraima,RR,Roraima,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2002,1200435,Santa Rosa do Purus,AC,Acre,552,,,,,,0.0,0.0,0.0,100029.4,0.0,242114.57,Autarquia | Administração pública direta
2001,1301506,Envira,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1999,1301951,Itamarati,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1304062,Tabatinga,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2005,1303809,SÃ£o Gabriel da Cachoeira,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1999,1200138,Bujari,AC,Acre,1580,,,0.0,,16,,,,0.0,,,Autarquia | Administração pública direta
1998,1300201,Atalaia do Norte,AM,Amazonas,2585,2933,,56.0,,3,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2001,1303908,SÃ£o Paulo de OlivenÃ§a,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1996,1300300,Autazes,AM,Amazonas,6210,,,109.5,,5,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1302702,ManicorÃ©,AM,Amazonas,11865,,,196.0,,6,,,,,,,Administração pública direta | Administração pública direta
2000,1400282,Iracema,RR,Roraima,,,,,,,,,,,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2001,1300086,AnamÃ£,AM,Amazonas,,,,,,,,,,,,,Administração pública direta
1998,1300102,Anori,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
2001,1300839,Caapiranga,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1999,1303106,Nova Olinda do Norte,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1304062,Tabatinga,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1300029,AlvarÃ£es,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1300631,Beruri,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1999,1301209,Coari,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1996,1301852,Iranduba,AM,Amazonas,7810,,,182.5,,5,,,,,,,Autarquia | Administração pública direta
1999,1302306,JutaÃ­,AM,Amazonas,,,,,,,,,,,,,0
2000,1304401,Urucurituba,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1997,1400407,Normandia,RR,Roraima,1452,,,0.0,,1,,,,0.0,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1200252,EpitaciolÃ¢ndia,AC,Acre,4690,,,475.72,,7,,,,250735.94,,,Autarquia | Administração pública direta
1997,1300201,Atalaia do Norte,AM,Amazonas,2455,,,73.0,,3,,,,7000.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1300839,Caapiranga,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1998,1301100,Careiro,AM,Amazonas,4780,4143,,110.1,,4,,,,,,,Administração pública direta | Administração pública direta
2001,1301159,Careiro da VÃ¡rzea,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1302207,JuruÃ¡,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1996,1304203,TefÃ©,AM,Amazonas,33457,,,730.0,,11,,,,,,,Autarquia | Administração pública direta
2000,1400027,Amajari,RR,Roraima,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2006,1303106,Nova Olinda do Norte,AM,Amazonas,4500,,,,0.0,10,0.0,0.0,0.0,63000.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2000,1200179,Capixaba,AC,Acre,1099,,,0.0,,5,,,,129792.12,,,Autarquia | Administração pública direta
2000,1200302,FeijÃ³,AC,Acre,593,,,157.3,,5,,,,0.0,,,Autarquia | Administração pública direta
1999,1200500,Sena Madureira,AC,Acre,8582,,,886.0,,12,,,,0.0,,,Autarquia | Administração pública direta
1996,1301100,Careiro,AM,Amazonas,5003,,,109.5,,3,,,,,,,Administração pública direta | Administração pública direta
1995,1302603,Manaus,AM,Amazonas,,1131153,,,,,,,,,,,Empresa privada | Administração pública direta
